[2026-05-26 07:56:28,322] INFO in _internal:  * Running on https://0.0.0.0:8080/ (Press CTRL+C to quit)
[2026-05-26 07:57:10,326] INFO in app: path: /api/usuarios/registro | method: POST | status: 500 INTERNAL SERVER ERROR | size: 19 >>> 172.19.0.5
[2026-05-26 07:57:10,327] INFO in _internal: 172.19.0.5 - - [26/May/2026 07:57:10] "[35m[1mPOST /api/usuarios/registro HTTP/1.1[0m" 500 -
[2026-05-26 07:57:13,174] INFO in app: path: /api/usuarios/registro | method: POST | status: 500 INTERNAL SERVER ERROR | size: 19 >>> 172.19.0.5
[2026-05-26 07:57:13,175] INFO in _internal: 172.19.0.5 - - [26/May/2026 07:57:13] "[35m[1mPOST /api/usuarios/registro HTTP/1.1[0m" 500 -
[2026-05-26 07:57:15,584] INFO in app: path: /api/usuarios/registro | method: POST | status: 500 INTERNAL SERVER ERROR | size: 19 >>> 172.19.0.5
[2026-05-26 07:57:15,584] INFO in _internal: 172.19.0.5 - - [26/May/2026 07:57:15] "[35m[1mPOST /api/usuarios/registro HTTP/1.1[0m" 500 -
[2026-05-26 07:57:22,098] INFO in app: path: /api/usuarios/login | method: POST | status: 500 INTERNAL SERVER ERROR | size: 19 >>> 172.19.0.5
[2026-05-26 07:57:22,098] INFO in _internal: 172.19.0.5 - - [26/May/2026 07:57:22] "[35m[1mPOST /api/usuarios/login HTTP/1.1[0m" 500 -
[2026-05-26 08:01:56,633] INFO in _internal:  * Running on https://0.0.0.0:8080/ (Press CTRL+C to quit)
[2026-05-26 08:02:16,861] INFO in controlador_usuarios: Nuevo usuario creado
[2026-05-26 08:02:16,862] INFO in app: path: /api/usuarios/registro | method: POST | status: 200 OK | size: 16 >>> 172.19.0.5
[2026-05-26 08:02:16,862] INFO in _internal: 172.19.0.5 - - [26/May/2026 08:02:16] "[37mPOST /api/usuarios/registro HTTP/1.1[0m" 200 -
[2026-05-26 08:02:22,303] INFO in controlador_usuarios: Acceso usuario root correcto
[2026-05-26 08:02:22,309] INFO in app: path: /api/usuarios/login | method: POST | status: 200 OK | size: 140 >>> 172.19.0.5
[2026-05-26 08:02:22,309] INFO in _internal: 172.19.0.5 - - [26/May/2026 08:02:22] "[37mPOST /api/usuarios/login HTTP/1.1[0m" 200 -
[2026-05-26 08:02:22,494] INFO in app: path: /api/zapatos/ | method: GET | status: 200 OK | size: 180 >>> 172.19.0.5
[2026-05-26 08:02:22,494] INFO in _internal: 172.19.0.5 - - [26/May/2026 08:02:22] "[37mGET /api/zapatos/ HTTP/1.1[0m" 200 -
[2026-05-26 08:02:31,277] INFO in app: path: /api/usuarios/logout | method: GET | status: 200 OK | size: 16 >>> 172.19.0.5
[2026-05-26 08:02:31,277] INFO in _internal: 172.19.0.5 - - [26/May/2026 08:02:31] "[37mGET /api/usuarios/logout HTTP/1.1[0m" 200 -
[2026-05-26 08:02:33,304] INFO in app: path: /api/zapatos/ | method: GET | status: 200 OK | size: 180 >>> 172.19.0.5
[2026-05-26 08:02:33,304] INFO in _internal: 172.19.0.5 - - [26/May/2026 08:02:33] "[37mGET /api/zapatos/ HTTP/1.1[0m" 200 -
[2026-05-26 08:02:40,895] INFO in app: path: /api/usuarios/logout | method: GET | status: 403 FORBIDDEN | size: 23 >>> 172.19.0.5
[2026-05-26 08:02:40,895] INFO in _internal: 172.19.0.5 - - [26/May/2026 08:02:40] "[31m[1mGET /api/usuarios/logout HTTP/1.1[0m" 403 -
[2026-05-26 08:02:43,905] INFO in app: path: /api/ficheros/ | method: GET | status: 200 OK | size: 3 >>> 172.19.0.5
[2026-05-26 08:02:43,906] INFO in _internal: 172.19.0.5 - - [26/May/2026 08:02:43] "[37mGET /api/ficheros/ HTTP/1.1[0m" 200 -
[2026-05-26 08:02:45,310] INFO in app: path: /api/zapatos/ | method: GET | status: 200 OK | size: 180 >>> 172.19.0.5
[2026-05-26 08:02:45,311] INFO in _internal: 172.19.0.5 - - [26/May/2026 08:02:45] "[37mGET /api/zapatos/ HTTP/1.1[0m" 200 -
[2026-05-26 08:02:53,872] INFO in app: path: /api/zapatos/ | method: GET | status: 200 OK | size: 180 >>> 172.19.0.5
[2026-05-26 08:02:53,872] INFO in _internal: 172.19.0.5 - - [26/May/2026 08:02:53] "[37mGET /api/zapatos/ HTTP/1.1[0m" 200 -
[2026-05-26 08:02:55,956] INFO in app: path: /api/usuarios/logout | method: GET | status: 403 FORBIDDEN | size: 23 >>> 172.19.0.5
[2026-05-26 08:02:55,957] INFO in _internal: 172.19.0.5 - - [26/May/2026 08:02:55] "[31m[1mGET /api/usuarios/logout HTTP/1.1[0m" 403 -
[2026-05-26 08:02:57,710] INFO in app: path: /api/zapatos/ | method: GET | status: 200 OK | size: 180 >>> 172.19.0.5
[2026-05-26 08:02:57,710] INFO in _internal: 172.19.0.5 - - [26/May/2026 08:02:57] "[37mGET /api/zapatos/ HTTP/1.1[0m" 200 -
[2026-05-26 08:02:58,225] INFO in app: path: /api/zapatos/ | method: GET | status: 200 OK | size: 180 >>> 172.19.0.5
[2026-05-26 08:02:58,226] INFO in _internal: 172.19.0.5 - - [26/May/2026 08:02:58] "[37mGET /api/zapatos/ HTTP/1.1[0m" 200 -
[2026-05-26 08:02:58,403] INFO in app: path: /api/zapatos/ | method: GET | status: 200 OK | size: 180 >>> 172.19.0.5
[2026-05-26 08:02:58,404] INFO in _internal: 172.19.0.5 - - [26/May/2026 08:02:58] "[37mGET /api/zapatos/ HTTP/1.1[0m" 200 -
[2026-05-26 08:02:58,625] INFO in app: path: /api/zapatos/ | method: GET | status: 200 OK | size: 180 >>> 172.19.0.5
[2026-05-26 08:02:58,626] INFO in _internal: 172.19.0.5 - - [26/May/2026 08:02:58] "[37mGET /api/zapatos/ HTTP/1.1[0m" 200 -
[2026-05-26 08:02:58,823] INFO in app: path: /api/zapatos/ | method: GET | status: 200 OK | size: 180 >>> 172.19.0.5
[2026-05-26 08:02:58,824] INFO in _internal: 172.19.0.5 - - [26/May/2026 08:02:58] "[37mGET /api/zapatos/ HTTP/1.1[0m" 200 -
[2026-05-26 08:02:59,007] INFO in app: path: /api/zapatos/ | method: GET | status: 200 OK | size: 180 >>> 172.19.0.5
[2026-05-26 08:02:59,007] INFO in _internal: 172.19.0.5 - - [26/May/2026 08:02:59] "[37mGET /api/zapatos/ HTTP/1.1[0m" 200 -
[2026-05-26 08:02:59,158] INFO in app: path: /api/zapatos/ | method: GET | status: 200 OK | size: 180 >>> 172.19.0.5
[2026-05-26 08:02:59,158] INFO in _internal: 172.19.0.5 - - [26/May/2026 08:02:59] "[37mGET /api/zapatos/ HTTP/1.1[0m" 200 -
[2026-05-26 08:02:59,758] INFO in app: path: /api/usuarios/logout | method: GET | status: 403 FORBIDDEN | size: 23 >>> 172.19.0.5
[2026-05-26 08:02:59,758] INFO in _internal: 172.19.0.5 - - [26/May/2026 08:02:59] "[31m[1mGET /api/usuarios/logout HTTP/1.1[0m" 403 -
[2026-05-26 08:03:14,512] INFO in app: path: /api/zapatos/ | method: GET | status: 200 OK | size: 180 >>> 172.19.0.5
[2026-05-26 08:03:14,512] INFO in _internal: 172.19.0.5 - - [26/May/2026 08:03:14] "[37mGET /api/zapatos/ HTTP/1.1[0m" 200 -
[2026-05-26 08:03:16,480] INFO in app: path: /api/zapatos/1 | method: GET | status: 200 OK | size: 178 >>> 172.19.0.5
[2026-05-26 08:03:16,481] INFO in _internal: 172.19.0.5 - - [26/May/2026 08:03:16] "[37mGET /api/zapatos/1 HTTP/1.1[0m" 200 -
[2026-05-26 08:03:18,038] INFO in app: path: /api/zapatos/ | method: PUT | status: 400 BAD REQUEST | size: 153 >>> 172.19.0.5
[2026-05-26 08:03:18,038] INFO in _internal: 172.19.0.5 - - [26/May/2026 08:03:18] "[31m[1mPUT /api/zapatos/ HTTP/1.1[0m" 400 -
[2026-05-26 08:03:22,932] INFO in app: path: /api/ficheros/ | method: GET | status: 200 OK | size: 3 >>> 172.19.0.5
[2026-05-26 08:03:22,932] INFO in _internal: 172.19.0.5 - - [26/May/2026 08:03:22] "[37mGET /api/ficheros/ HTTP/1.1[0m" 200 -
